System;Route;Banner;Name;Roots
espn;NI;;Beasain;esp.n001bea
espn;NI;;La Puebla de Arganzón;esp.n001pue
espn;NI;;Briviesca;esp.n001
espn;NI;;Lerma;esp.n001ler
espn;NI;;Quintanilla de la Mata;esp.n001qui
espn;NI;;Gumiel de Izán;esp.n001gum
espn;NI;;Aranda de Duero;esp.n001ara
espn;NI;;Boceguillas;esp.n001boc
espn;NI;;Robregordo;esp.n001rob
espn;NI;;Buitrago del Lozoya;esp.n001bui
espn;NI;;Venturada;esp.n001ven
espn;NIa;;Cerezo de Abajo;esp.n001a
espn;NII;;Torremocha del Campo;esp.n002tor
espn;NII;;Saúca;esp.n002sau
espn;NII;;Esteras de Medinaceli;esp.n002est
espn;NII;;Arcos de Jalón;esp.n002arc
espn;NII;;Santa María de Huerta;esp.n002mar
espn;NII;;La Muela;esp.n002mue
espn;NII;;Zaragoza;esp.n002zar
espn;NII;;Fraga;esp.n002
espn;NII;;Cervera;esp.n002cer
espn;NII;;Mataró;esp.n002mat
espn;NII;;Figueres;esp.n002fig
espn;NIIa;;Ariza;esp.n002aari
espn;NIIa;;Calatayud;esp.n002a
espn;NIIa;;La Almunia de Doña Godina;esp.n002aalm
espn;NIIa;;Igualada;esp.n002aigu
espn;NIIa;;Girona;esp.n002agir
espn;NIIa;;Figueres;esp.n002afig
espn;NIIa;;San Andrés de la Barca;esp.n002aand
espn;NIIz;;Montserrat Parc;esp.n002z
espn;NIII;;Arganda del Rey;esp.n003arg
espn;NIII;;Tarancón;esp.n003tar
espn;NIII;;Montalbo;esp.n003mon
espn;NIII;;Villares del Saz;esp.n003vil
espn;NIII;;Minglanilla;esp.n003
espn;NIII;;Buñol;esp.n003bun
espn;NIII;;Chiva;esp.n003chi
espn;NIV;;Dosbarrios;esp.n004dos
espn;NIV;;La Guardia;esp.n004gua
espn;NIV;;Villarta de San Juan;esp.n004vil
espn;NIV;;Bailén;esp.n004bai
espn;NIV;;Córdoba;esp.n004cor
espn;NIV;;Las Cabezas de San Juan;esp.n004
espn;NIV;;Jerez de la Frontera;esp.n004jer
espn;NIV;;El Puerto de Santa María;esp.n004pue
espn;NIVa;;Santa Elena;esp.n004aele
espn;NIVa;;El Carpio;esp.n004acar
espn;NIVa;;La Carlota;esp.n004a
espn;NV;;Talavera la Real;esp.n005tal
espn;NV;;Mérida;esp.n005mer
espn;NV;;Miajadas;esp.n005mia
espn;NV;;Trujillo;esp.n005tru
espn;NV;;Almaraz;esp.n005
espn;NV;;Navalmoral de la Mata;esp.n005nav
espn;NVa;;Lagartera;esp.n005alag
espn;NVa;;Valmojado;esp.n005a
espn;NVI;;Lugo;esp.n006
espn;NVI;;Tordesillas;esp.n006tor
espn;NVI;;Rueda;esp.n006rue
espn;NVI;;El Espinar;esp.n006esp
espn;NVIa;;Betanzos;esp.n006a
espn;N102;;;esp.n102
espn;N104;;;esp.n104
espn;N110;;;esp.n110
espn;N110a;;;esp.n110a
espn;N111;;(Main);esp.n111
espn;N111;;Logroño;esp.n111log
espn;N111;;Viana;esp.n111via
espn;N111a;;Logroño;esp.n111alog
espn;N111a;;Piqueras;esp.n111a
espn;N111a;;Garray;esp.n111agar
espn;N111a;;Soria;esp.n111asor
espn;N113;;;esp.n113
espn;N120;;Ourense;esp.n120our
espn;N120;;Burgos;esp.n120
espn;N120a;;Monforte de Lemos;esp.n120a
espn;N120a;;Astorga;esp.n120aast
espn;N120a;;Santo Domingo de la Calzada;esp.n120adom
espn;N121;;;esp.n121
espn;N121a;;;esp.n121a
espn;N121b;;;esp.n121b
espn;N121c;;;esp.n121c
espn;N122;;Zamora;esp.n122zam
espn;N122;;Soria;esp.n122
espn;N122a;;San Martín del Pedroso;esp.n122amar
espn;N122a;;La Cistérniga;esp.n122a
espn;N123;;;esp.n123
espn;N123a;;;esp.n123a
espn;N124;;;esp.n124
